index,prediction,probability,true_label,truncated
0fdbdac63953120b626c7fdf192756f23e95571a,NonBugFix,0.901164,NonBugFix,False
0fb7d36f4dbda94889528823cd2130a12e4664ca,NonBugFix,0.900929,NonBugFix,True
172ae58a8b89e71b5100f6435139b303edd4dd5e,NonBugFix,0.901192,NonBugFix,True
17f13f466f11f3b7990691a64764d2ad8f9f25a6,NonBugFix,0.901121,NonBugFix,True
17ac53d63e0e0c4326d628f798207f4e2bf513a2,NonBugFix,0.900794,NonBugFix,True
25d2a7a5c305b232a2d8fec3fa82f9e237fc4580,NonBugFix,0.900732,NonBugFix,True
30fec17901216753cfd6af1c8142592fce2644f1,NonBugFix,0.901164,NonBugFix,False
30b9871ceef52cd43b830c058a3a3d34c36eb742,NonBugFix,0.898145,NonBugFix,True
d7340a55f0c5ee903ae19bc3a733907127eb4d99,BugFix,0.873702,NonBugFix,False
57c3226147127fc860fa7dec9ec60ec98bb01a79,NonBugFix,0.900841,NonBugFix,True
19c9306b7d48af34a8156e3a94447c68ed4902b0,NonBugFix,0.899604,NonBugFix,False
979308570786c30291feb43b111306e5ffa8c0a1,BugFix,0.873703,NonBugFix,False
974fff51e0d0c98b667700d2c517af4d40a2adee,NonBugFix,0.900589,NonBugFix,True
975a2fc86646f4afae2b8414a8457f5f52c935b5,BugFix,0.873745,NonBugFix,True
1837cbfa6728f5c46c1e7e135f9f6a4ef0da6836,NonBugFix,0.900843,NonBugFix,True
1863540842c9a5bb532d8fd75de6ede6cf5068ac,NonBugFix,0.563353,NonBugFix,False
18630203c44d34b04aa1bc94ca49f7759565954e,NonBugFix,0.900875,NonBugFix,True
18aa3c4c4d9f75508771a1887bb24ab35bf404a5,NonBugFix,0.901193,NonBugFix,True
18804a91672b28cb9bf7a38fa1fe28d91f4ba30a,BugFix,0.873744,NonBugFix,False
161674bc2271df5dff314e6eb01e0438eaa4f874,NonBugFix,0.901222,NonBugFix,True
16615300f51ad148e2dad619aaf8bfaf398f405f,NonBugFix,0.901138,NonBugFix,True
16a3d5d298bd0427e74e8f283c00a994b97b53ce,BugFix,0.873720,NonBugFix,True
167558157292c8393d2391124bfb9613f026c441,NonBugFix,0.901167,NonBugFix,True
712bfd41d426c767a5a413ecc24911e93bcf0b54,BugFix,0.873707,NonBugFix,False
1afd130b5095319c897ade679614d2d48e222d2d,NonBugFix,0.901174,NonBugFix,True
9ae33afc8aff8a8cdbc02ba1f4a7a4643c33854b,BugFix,0.873753,NonBugFix,True
e973a3f440164cefd4d4fa2499f11a108eb974a8,NonBugFix,0.900667,NonBugFix,True
08f67c8a7ddcd85b3ee72805cc3b9d64374fe21d,NonBugFix,0.901152,NonBugFix,True
08c6bf3dbeff840ac94fb8a305325b86164b6443,NonBugFix,0.901213,NonBugFix,True
085a4f448083c21061a849ccb3ced97591f8f909,NonBugFix,0.900909,NonBugFix,True
f36ed6ec9caf15cc7cf7fe8ec8d631ee34748d97,NonBugFix,0.901049,NonBugFix,False
01167cb136c84a02fb92b9a7e3f09473ba571967,NonBugFix,0.901122,NonBugFix,False
01ae902eff20b85715f6f4e7616531c4c5f81efc,NonBugFix,0.743008,NonBugFix,False
01f3fe6dfd39e9a8fd83bb191840d50bc4c91648,NonBugFix,0.901073,NonBugFix,False
011fc0f25352a67fd6e9dc2e688d814bb1517bd3,NonBugFix,0.901216,NonBugFix,True
01147d49b04d26c395d5b3e381110b49f8f6b3c9,NonBugFix,0.896172,NonBugFix,False
01f9ae36706a30a030be58986987c6dbdf8c74a4,NonBugFix,0.901165,NonBugFix,True
01eb8eefb36665c1736ac830beaf98d70aea8714,NonBugFix,0.900454,NonBugFix,True
01f796f71eb78891b51a08c4ce82311a3696c7e7,NonBugFix,0.900877,NonBugFix,True
01f784a733007f24fe7e4d162d985b1a4d460af8,NonBugFix,0.901004,NonBugFix,False
013466705504851f809adbbe8856164fa2182a61,NonBugFix,0.901123,NonBugFix,False
af8337d4a1d0d35911c3cd1a8d4be58bf518fa03,BugFix,0.873657,NonBugFix,True
bdc1aebb04e58d44a537d52573e63a4c63a6e1b0,NonBugFix,0.900909,NonBugFix,True
bd72d4bc5941f538c3f789fb9a3d54a43043800b,BugFix,0.643379,NonBugFix,True
1c3640ffb9b8a1727d41625a6a80588f27f680ff,NonBugFix,0.900928,NonBugFix,True
fc13c0ebcb184a5fde3ae0eb17fe97e91555c107,BugFix,0.873748,NonBugFix,True
046d83791f21ef0541ebde18e45ef91520115085,NonBugFix,0.901168,NonBugFix,True
042fb11e5359e481f6e091340c2c736357d1c897,BugFix,0.873697,NonBugFix,False
041f119b138ad8cf52b3fc7877041257b397d0ba,NonBugFix,0.901069,NonBugFix,False
043ffcce092f3bbb9efa86b647bcd49b74961772,NonBugFix,0.901204,NonBugFix,True
04cc49768b7689530228a56798174a93d0ad23b6,NonBugFix,0.900737,NonBugFix,False
042093223c9672f51383ae413881efc272efaa8e,NonBugFix,0.901136,NonBugFix,True
047aa496231b62db778d98cc2fdb9dfda17ccbb4,NonBugFix,0.900890,NonBugFix,False
047ae71dc380f9fcc1b8572815aa0dcb047a1351,NonBugFix,0.745648,NonBugFix,False
04107b960d1a5fc4ffbb45e5719d939f37989a03,NonBugFix,0.900795,NonBugFix,False
04a82acd36e3c8334aae378aee5a23bfc934250a,NonBugFix,0.901202,NonBugFix,True
1125a8b760810f682a3c929534e3d235a27e1245,BugFix,0.694889,NonBugFix,True
119ed05e5985c2497e0715ace271d44425e87340,NonBugFix,0.901199,NonBugFix,True
1118a4f4b4f309121190cb15e24aa36263210747,NonBugFix,0.567844,NonBugFix,False
1199ce41b094def9b90edb56afcf8761d2294521,BugFix,0.873516,NonBugFix,True
1162e1f0a083a71a7d3166144d88e3d3f6d8f67a,NonBugFix,0.901035,NonBugFix,True
36f079e4e39e550bb599a459eb44e5d58a87c9f1,NonBugFix,0.901099,NonBugFix,False
09165c24071c1c7659f6eb2fb6780abc0e79d4ef,NonBugFix,0.901190,NonBugFix,True
09e082e6c36809f8d653d3a73b80e1fdf0ef6955,NonBugFix,0.900890,NonBugFix,False
09da66e0030e1c51750fc2f0c37a750013257ea3,NonBugFix,0.575313,NonBugFix,False
00713ca48870d90b4a2d7a45212b22b6e14fd0b4,NonBugFix,0.899059,NonBugFix,False
00f3c09f44c99c631b7c6ed4b137e67154735973,NonBugFix,0.900835,NonBugFix,False
004c1747f62c4085fdf55348c5f6f5cdcddc9c1e,NonBugFix,0.579313,NonBugFix,False
00279d8a06bd1f52e9b8e70896585bd16d88e430,NonBugFix,0.565236,NonBugFix,False
0060df80155401c1bf34a0f6f791c193f7825ca1,NonBugFix,0.901000,NonBugFix,False
0037eefde06cbd16352cafe2c756abdb81bc726e,NonBugFix,0.901119,NonBugFix,False
004677c4fe512e89b111a88556e2aadf3e5995ad,NonBugFix,0.901032,NonBugFix,True
0052ded0a918227cb9f62ec892a95082925a6481,NonBugFix,0.880432,NonBugFix,False
002d6db966601ce46f688fe8c6ac59f29185f6b5,NonBugFix,0.901131,NonBugFix,True
009264f02318358ffde6fb93e9957ba4b4c7c4ec,NonBugFix,0.901182,NonBugFix,False
6ff6c50bd27bb33076fb3196f4b409507a33a1d1,BugFix,0.873721,NonBugFix,True
